donem,tablo,kalem,sayi
2026-04,kaza_olus_sekli,Yandan Çarpma,7815
2026-04,kaza_olus_sekli,Yan Yana Çarpışma,437
2026-04,kaza_olus_sekli,Duran Araca Çarpma,257
2026-04,kaza_olus_sekli,Zincirleme Çarpışma,86
2026-04,kaza_olus_sekli,Çoklu Çarpışma,133
2026-04,kaza_olus_sekli,Engel/Cisim ile Çarpışma,862
2026-04,kaza_olus_sekli,Yayaya Çarpma,3235
2026-04,kaza_olus_sekli,Hayvana Çarpma,63
2026-04,kaza_olus_sekli,Devrilme/Savrulma/Takla,3089
2026-04,kaza_olus_sekli,Yoldan Çıkma,1695
2026-04,kaza_olus_sekli,Araçtan Insan Düşmesi,188
2026-04,kaza_olus_sekli,Araçtan Cisim Düşmesi,11
2026-04,kaza_olus_sekli,Park etmis araca çarpma,229
2026-04,karisan_arac_sayisi,Tek Araçlı,8463
2026-04,karisan_arac_sayisi,İki Araçlı,11920
2026-04,karisan_arac_sayisi,Çok Araçlı,1301
2026-04,kusur_unsurlari,SÜRÜCÜ,23074
2026-04,kusur_unsurlari,YAYA,2087
2026-04,kusur_unsurlari,YOLCU,118
2026-04,kusur_unsurlari,ARAÇ,221
2026-04,kusur_unsurlari,YOL,103
2026-04,surucu_kusurlari,"Araç hızını yol, hava ve trafiğin gerektirdiği şartlara uydurmamak",8085
2026-04,surucu_kusurlari,"Kavşak,geçit ve kaplamanın dar old.yerlerde geçiş önc.uymamak",4404
2026-04,surucu_kusurlari,Şerit izleme ve değiştirme kural.uymamak,1999
2026-04,surucu_kusurlari,Arkadan Çarpma,2162
2026-04,surucu_kusurlari,Doğrultu Değiştirme (dönüş) kurallarına uymamak,1892
2026-04,surucu_kusurlari,Manevraları düzenleyen genel şartlara uymamak,1077
2026-04,surucu_kusurlari,Kırmızı ışık veya görevlinin dur işaretinde durmamak,489
2026-04,surucu_kusurlari,Taşıt giremez trafik işareti bulunan yerlere girmek,839
2026-04,surucu_kusurlari,Trafik güvenliği ile ilgili diğer kurallara uymamak,528
2026-04,surucu_kusurlari,"Yaya ve okul geçitlerinde yavaşlamamak, yayalara geçiş hakkı vermemek",393
2026-04,surucu_kusurlari,Alkollü olarak araç kullanmak,95
2026-04,surucu_kusurlari,Aşırı hızla araç kullanmak,106
2026-04,surucu_kusurlari,Geçme yasağı olan yerlerden geçmek,370
2026-04,surucu_kusurlari,Hatalı şekilde veya yasak olan yerlere park etmek,95
2026-04,surucu_kusurlari,DİĞER,540
2026-04,karisan_arac_cinsi,Bisiklet,606
2026-04,karisan_arac_cinsi,At Arabası,5
2026-04,karisan_arac_cinsi,Motorlu Bisiklet,3328
2026-04,karisan_arac_cinsi,Motosiklet,8678
2026-04,karisan_arac_cinsi,Otomobil,16390
2026-04,karisan_arac_cinsi,Minibüs,694
2026-04,karisan_arac_cinsi,Kamyonet,4310
2026-04,karisan_arac_cinsi,Kamyon,463
2026-04,karisan_arac_cinsi,Çekici,656
2026-04,karisan_arac_cinsi,Otobüs,541
2026-04,karisan_arac_cinsi,Traktör,170
2026-04,karisan_arac_cinsi,Arazi Taşıtı,3
2026-04,karisan_arac_cinsi,Özel Amaçlı,66
2026-04,karisan_arac_cinsi,İş Makinesi,42
2026-04,karisan_arac_cinsi,Ambulans,21
2026-04,karisan_arac_cinsi,Tanker,4
2026-04,karisan_arac_cinsi,Tren,1
2026-04,karisan_arac_cinsi,Tramvay,7
2026-04,karisan_arac_cinsi,Diğer,545
2026-04,trafik_cezalari,Yayalara Uygulanan,309
