donem,plaka,il,olumlu_yaralanmali_kaza,maddi_hasarli_kaza,olu,yarali,hesaplanan_alan
2026-02,24,Erzincan,48,96,0,74,
2026-02,25,Erzurum,107,316,5,198,
2026-02,26,Eskişehir,176,228,3,228,
2026-02,27,Gaziantep,348,406,2,526,
2026-02,28,Giresun,62,113,1,84,
2026-02,29,Gümüşhane,15,31,1,20,
2026-02,30,Hakkari,15,18,0,45,
2026-02,31,Hatay,432,379,3,570,
2026-02,32,Isparta,96,69,0,164,
2026-02,33,Mersin,517,349,6,669,
2026-02,34,İstanbul,2723,5588,9,3270,
2026-02,35,İzmir,874,2317,6,1134,
2026-02,36,Kars,30,76,0,60,
2026-02,37,Kastamonu,61,86,1,107,
2026-02,38,Kayseri,322,344,2,492,
2026-02,39,Kırklareli,61,108,0,92,
2026-02,40,Kırşehir,40,64,0,62,
2026-02,41,Kocaeli,477,908,1,599,
2026-02,42,Konya,517,690,0,739,
2026-02,43,Kütahya,91,130,0,114,
2026-02,44,Malatya,129,167,0,189,
2026-02,45,Manisa,378,519,3,514,
2026-02,46,Kahramanmaraş,202,357,3,320,
2026-02,47,Mardin,121,117,1,210,
2026-02,48,Muğla,373,365,3,489,
2026-02,49,Muş,28,54,0,40,
2026-02,50,Nevşehir,74,175,1,105,
2026-02,51,Niğde,88,130,3,137,
2026-02,52,Ordu,163,281,0,240,
2026-02,53,Rize,66,86,2,88,
2026-02,54,Sakarya,228,289,2,325,
2026-02,55,Samsun,355,527,4,485,
2026-02,56,Siirt,46,54,0,67,
2026-02,57,Sinop,55,51,0,83,
2026-02,58,Sivas,107,148,2,196,
2026-02,59,Tekirdağ,257,548,0,321,
2026-02,60,Tokat,135,136,0,227,
2026-02,61,Trabzon,167,235,0,246,
2026-02,62,Tunceli,16,29,0,19,
2026-02,63,Şanlıurfa,264,328,4,444,
2026-02,64,Uşak,75,113,0,133,
2026-02,65,Van,110,191,2,156,
2026-02,66,Yozgat,77,117,0,130,
2026-02,67,Zonguldak,135,124,0,180,
2026-02,68,Aksaray,84,172,0,152,
2026-02,69,Bayburt,8,15,0,8,
2026-02,70,Karaman,67,69,2,108,
2026-02,71,Kırıkkale,78,114,0,110,
2026-02,72,Batman,83,161,0,115,
2026-02,73,Şırnak,86,63,2,121,
2026-02,74,Bartın,37,43,0,59,
2026-02,75,Ardahan,4,22,0,8,
2026-02,76,Iğdır,24,52,0,31,
2026-02,77,Yalova,91,79,0,109,
2026-02,78,Karabük,46,48,1,69,
2026-02,79,Kilis,40,12,0,60,
2026-02,80,Osmaniye,186,143,0,270,
2026-02,81,Düzce,103,83,3,150,
2026-03,1,Adana,561,682,5,780,
2026-03,2,Adıyaman,131,142,0,216,
2026-03,3,Afyonkarahisar,213,289,1,383,
2026-03,4,Ağrı,65,119,0,123,
2026-03,5,Amasya,120,119,0,197,
2026-03,6,Ankara,1415,6935,8,2037,
2026-03,7,Antalya,1035,971,4,1437,
2026-03,8,Artvin,20,38,0,25,
2026-03,9,Aydın,471,323,2,652,
2026-03,10,Balıkesir,414,372,8,626,
2026-03,11,Bilecik,56,75,0,84,
2026-03,12,Bingöl,59,79,0,111,
2026-03,13,Bitlis,48,95,2,103,
2026-03,14,Bolu,88,112,0,144,
2026-03,15,Burdur,103,64,0,142,
2026-03,16,Bursa,808,1740,4,1142,
2026-03,17,Çanakkale,162,123,1,216,
2026-03,18,Çankırı,72,93,0,139,
2026-03,19,Çorum,185,272,0,316,
2026-03,20,Denizli,332,452,4,459,
2026-03,21,Diyarbakır,270,536,0,472,
2026-03,22,Edirne,103,111,0,153,
2026-03,23,Elazığ,129,164,0,229,
2026-03,24,Erzincan,52,94,0,71,
2026-03,25,Erzurum,106,241,0,185,
2026-03,26,Eskişehir,251,298,3,384,
2026-03,27,Gaziantep,479,490,5,718,
2026-03,28,Giresun,88,118,4,139,
2026-03,29,Gümüşhane,23,33,0,39,
2026-03,30,Hakkari,23,35,1,54,
2026-03,31,Hatay,557,387,1,755,
2026-03,32,Isparta,167,104,3,261,
2026-03,33,Mersin,638,439,10,866,
2026-03,34,İstanbul,3262,6086,18,4022,
2026-03,35,İzmir,1160,2256,2,1447,
2026-03,36,Kars,32,45,0,76,
2026-03,37,Kastamonu,73,106,1,129,
2026-03,38,Kayseri,373,371,1,565,
2026-03,39,Kırklareli,76,101,0,107,
2026-03,40,Kırşehir,50,64,0,80,
2026-03,41,Kocaeli,634,921,2,858,
2026-03,42,Konya,667,831,3,1082,
2026-03,43,Kütahya,169,139,3,251,
2026-03,44,Malatya,165,176,3,256,
2026-03,45,Manisa,446,462,2,606,
2026-03,46,Kahramanmaraş,255,281,1,432,
2026-03,47,Mardin,121,170,1,242,
2026-03,48,Muğla,496,375,2,643,
2026-03,49,Muş,36,58,0,55,
2026-03,50,Nevşehir,86,149,3,140,
2026-03,51,Niğde,104,149,4,146,
2026-03,52,Ordu,204,311,1,299,
2026-03,53,Rize,82,82,0,106,
2026-03,54,Sakarya,313,368,3,423,
2026-03,55,Samsun,413,550,3,605,
2026-03,56,Siirt,49,69,0,77,
2026-03,57,Sinop,66,46,0,102,
2026-03,58,Sivas,115,130,0,179,
2026-03,59,Tekirdağ,285,562,3,386,
2026-03,60,Tokat,192,161,2,302,
2026-03,61,Trabzon,180,287,3,255,
2026-03,62,Tunceli,11,23,0,19,
2026-03,63,Şanlıurfa,336,427,6,571,
2026-03,64,Uşak,136,114,1,193,
2026-03,65,Van,120,205,0,180,
2026-03,66,Yozgat,89,111,1,153,
2026-03,67,Zonguldak,138,144,0,229,
2026-03,68,Aksaray,119,225,1,174,
2026-03,69,Bayburt,12,11,0,32,
2026-03,70,Karaman,60,65,0,80,
2026-03,71,Kırıkkale,106,130,0,146,
2026-03,72,Batman,115,202,1,162,
2026-03,73,Şırnak,69,84,0,105,
2026-03,74,Bartın,63,35,0,94,
2026-03,75,Ardahan,8,23,0,9,
2026-03,76,Iğdır,30,47,0,46,
2026-03,77,Yalova,105,104,2,149,
2026-03,78,Karabük,78,58,0,129,
2026-03,79,Kilis,27,4,0,35,
2026-03,80,Osmaniye,241,170,1,353,
2026-03,81,Düzce,85,112,0,129,
2026-04,1,Adana,536,562,3,739,
2026-04,2,Adıyaman,132,152,0,179,
2026-04,3,Afyonkarahisar,211,237,2,310,
2026-04,4,Ağrı,65,86,0,143,
2026-04,5,Amasya,109,92,2,167,
2026-04,6,Ankara,1361,6541,15,1818,
2026-04,7,Antalya,1076,929,12,1402,
2026-04,8,Artvin,28,27,2,50,
2026-04,9,Aydın,443,327,2,600,
2026-04,10,Balıkesir,443,341,5,598,
2026-04,11,Bilecik,80,57,0,108,
2026-04,12,Bingöl,56,54,0,77,
2026-04,13,Bitlis,59,67,3,106,
2026-04,14,Bolu,91,119,0,131,
2026-04,15,Burdur,110,67,8,168,
2026-04,16,Bursa,822,1462,2,1088,
2026-04,17,Çanakkale,193,142,0,269,
2026-04,18,Çankırı,69,67,0,119,
2026-04,19,Çorum,170,252,1,248,
2026-04,20,Denizli,343,431,2,459,
2026-04,21,Diyarbakır,264,400,1,413,
2026-04,22,Edirne,113,106,0,142,
2026-04,23,Elazığ,84,142,0,134,
2026-04,24,Erzincan,67,93,3,104,
2026-04,25,Erzurum,112,210,2,187,
2026-04,26,Eskişehir,220,223,5,310,
2026-04,27,Gaziantep,444,458,3,642,
2026-04,28,Giresun,83,79,2,122,
2026-04,29,Gümüşhane,28,40,1,53,
2026-04,30,Hakkari,23,15,0,36,
2026-04,31,Hatay,592,324,2,810,
2026-04,32,Isparta,132,79,1,175,
2026-04,33,Mersin,654,390,7,887,
2026-04,34,İstanbul,3342,5577,7,3979,
2026-04,35,İzmir,1167,2216,6,1463,
2026-04,36,Kars,28,43,0,51,
2026-04,37,Kastamonu,101,81,1,175,
2026-04,38,Kayseri,432,330,0,637,
2026-04,39,Kırklareli,81,77,1,123,
2026-04,40,Kırşehir,57,63,0,102,
2026-04,41,Kocaeli,653,854,2,812,
2026-04,42,Konya,712,775,3,1015,
2026-04,43,Kütahya,147,144,0,200,
2026-04,44,Malatya,181,147,4,298,
2026-04,45,Manisa,487,466,2,670,
2026-04,46,Kahramanmaraş,284,282,1,426,
2026-04,47,Mardin,132,122,1,214,
2026-04,48,Muğla,533,404,5,674,
2026-04,49,Muş,37,55,0,58,
2026-04,50,Nevşehir,110,155,2,161,
2026-04,51,Niğde,101,136,0,139,
2026-04,52,Ordu,208,279,2,271,
2026-04,53,Rize,77,99,0,91,
2026-04,54,Sakarya,304,313,0,402,
2026-04,55,Samsun,408,561,1,533,
2026-04,56,Siirt,49,52,1,62,
2026-04,57,Sinop,72,41,0,113,
2026-04,58,Sivas,135,140,3,218,
2026-04,59,Tekirdağ,296,490,2,404,
2026-04,60,Tokat,163,151,1,236,
2026-04,61,Trabzon,192,225,2,255,
2026-04,62,Tunceli,17,19,0,22,
2026-04,63,Şanlıurfa,305,313,4,499,
2026-04,64,Uşak,110,111,2,150,
2026-04,65,Van,144,178,0,224,
2026-04,66,Yozgat,82,101,4,128,
2026-04,67,Zonguldak,150,99,0,207,
2026-04,68,Aksaray,119,207,0,188,
2026-04,69,Bayburt,11,13,0,17,
2026-04,70,Karaman,94,55,0,150,
