cadde,konum,enlem,boylam,olay,eslesme_uzakligi_km
Yeşildere Caddesi,Tepecik Köprü Üzeri,38.42168,27.1531,17,0.3
Ankara Caddesi,Bölge Trafik Hizası,38.45983,27.2396,17,0
Anadolu Caddesi,Turan Otobüs Durakları,38.46735,27.14962,17,0.01
Altınyol Caddesi,Bayraklı Belediyesi Sonrası,38.4471,27.17144,17,1.95
Caher Dudayev Bulvarı,Atakent Kavşağı,38.46772,27.08771,17,0.01
Anadolu Caddesi,Çiğli Alt Geçit İçi,38.4944,27.06168,17,0
Kemalpaşa Caddesi,BMC Kavşağı,38.4389,27.25522,16,0.25
Gaziler Caddesi,Kemer Alt Geçit Çıkışı,38.42223,27.1504,16,0
Anadolu Caddesi,Bayraklı Belediyesi Sonrası,38.46504,27.16332,16,0.01
Mustafa Kemal Sahil Bulvarı,Göztepe Asma Köprü Hizası,38.4003,27.09155,16,0.01
Yeşillik Caddesi,Buca Köprü Öncesi,38.38302,27.13486,16,2.94
Yeşildere Caddesi,Ballıkuyu Üst Geçit Altı,38.41693,27.15518,16,0.43
Mustafa Kemal Sahil Bulvarı,Karantina Alt Geçit,38.40839,27.10796,15,0.14
Liman Caddesi,Alsancak Gar Hizası,38.43965,27.14807,15,0.01
Mürselpaşa Bulvarı,Tepecik Köprü Üstü,38.42474,27.14908,15,0.67
Yeşillik Caddesi,Buca Yol Ayrımı Öncesi,38.38302,27.13486,15,2.94
Ankara Caddesi,Ege Üniversitesi Acil Hizası,38.46138,27.22944,15,0.19
Yeşildere Caddesi,Basmane Yol Ayrımı Öncesi,38.42444,27.15196,15,0.64
Akçay Caddesi,Gaziemir alt Geçit İçi,38.31679,27.14045,15,0.01
Mithatpaşa Caddesi,Fahrettin Altay Meydanı,38.39696,27.06989,14,0
Anadolu Caddesi,Çiğli Belediyesi Hizası,38.4944,27.06168,14,0
Gaziler Caddesi,Kemer Alt Geçit Sonrası,38.42223,27.1504,14,0
Altınyol Caddesi,Bayraklı Üst Geçit Hizası,38.4471,27.17144,14,1.95
Mürselpaşa Bulvarı,Bozkurt Kavşak İçi,38.42373,27.14335,14,1.49
Akçay Caddesi,Havalimanı Kavşak İçi,38.31029,27.1424,14,1.67
Şair Eşref Bulvarı,Lozan Meydanı,38.43102,27.14265,13,0
Fevzipaşa Bulvarı,Çankaya Kavşağı,38.42249,27.136,13,0
Eşrefpaşa Caddesi,Cici Park Hizası,38.41203,27.13086,13,0.04
Anadolu Caddesi,Bayraklı Üst Geçit Sonrası,38.46504,27.16332,13,0.01
Anadolu Caddesi,Soğukkuyu Kavşağı Sonrası,38.4684,27.12174,13,0.6
Yeşillik Caddesi,Karabağlar Belediye Hizası,38.38424,27.13463,13,0.15
Eşrefpaşa Caddesi,İkiçeşmelik Cami Hizası,38.41432,27.1342,13,0
Fevzipaşa Bulvarı,Çankaya Kavşak İçi,38.42249,27.136,13,0
Akçay Caddesi,Serbest Bölge alt Geçit İçi,38.33586,27.13397,13,0.02
Yeşildere Caddesi,Ballıkuyu Üst Geçit Sonrası,38.41693,27.15518,13,0.43
Mehmet Akif Caddesi,Nato Kavşak İçi,38.39343,27.14262,13,0.01
Şehitler Caddesi,Halkapınar Aktarma Köprü Üstü,38.43406,27.16854,12,0.08
Kemalpaşa Caddesi,Otogar Kavşağı,38.42833,27.21501,12,0
Altınyol Caddesi,Turan Köprü Öncesi,38.4471,27.17144,12,2.9
