cadde,konum,enlem,boylam,olay,eslesme_uzakligi_km
Ankara Caddesi,Özkanlar Yol Ayrım Sonrası,38.45722,27.20501,2,0.32
Mustafa Kemal Sahil Bulvarı,Küçükyalı Kavşak Öncesi,38.40706,27.10161,2,0.08
Konak Tüneli,Konak Tünelleri,38.41576,27.12754,2,0.11
Anadolu Caddesi,Naldöken Köprü HiZASı,38.46651,27.12936,2,0.01
Fevzipaşa Bulvarı,Halit Ziya Bulvarı,38.42249,27.13497,1,0.4
Altınyol Caddesi,Benzinlik Hizası,38.4471,27.17144,1,1.02
Mustafa Kemal Sahil Bulvarı,Göztepe,38.4003,27.09155,1,0.01
Yeşillik Caddesi,Karabağlar Belediyesi Karşısı,38.38857,27.13461,1,0.07
Anadolu Caddesi,Bayraklı Üst Geçit,38.46504,27.16332,1,0.01
Gaziler Caddesi,Tepecik Köprü Sonrası,38.4227,27.1563,1,0.01
Gazi Bulvarı,Basmane Meydan,38.42379,27.14235,1,0.2
Anadolu Caddesi,Turan Köprü Üzeri,38.46735,27.14962,1,0.01
Altınyol Caddesi,Turan Otobüs Durakları,38.4471,27.17144,1,2.9
Mustafa Kemal Sahil Bulvarı,Göztepe Üst Geçit,38.4003,27.09155,1,0.01
Akçay Caddesi,Esbaş Üst Geçit,38.33591,27.13407,1,0
9 Eylül Meydanı,Basmane Fuar Kapısı Önü,38.42342,27.14314,1,0.13
Özmen Caddesi,Kadın Doğum Hastanesi,38.38216,27.1762,1,0.81
Anadolu Caddesi,Arena Sonrası,38.49917,27.05631,1,0.62
Anadolu Caddesi,Naldöken Köprü Üzeri,38.46651,27.12936,1,0.01
Ankara Caddesi,Bayraklı Ayrımı,38.44619,27.17581,1,2.19
Akçay Caddesi,Sarnıç Alt Geçit Üzeri,38.31171,27.143,1,0.15
Mustafa Kemal Sahil Bulvarı,Karantina Alt Geçit Çıkış,38.40839,27.10796,1,0.14
Akçay caddesi,Serbest Bölge Alt Geçit Girişi,38.33659,27.13385,1,0.25
Mustafa Kemal Sahil Bulvarı,Sabancı Lambalar,38.42254,27.13104,1,1.18
Yeşildere Caddesi,Hilal Köprü Çıkışı,38.42652,27.15225,1,0.15
Atatürk Caddesi,Alsancak Gar Önü,38.43835,27.14758,1,0
Akçay Caddesi,Aktepe Üst Geçit Benzinlik Önü,38.35286,27.13357,1,0.02
Anadolu Caddesi,Turan otobüs durakları öncesi,38.46735,27.14962,1,0.01
Yeşildere Caddesi,Mobilya Mağazası Sonu,38.42584,27.15191,1,0.24
Anadolu Caddesi,Turan,38.46735,27.14962,1,0.01
Ankara Caddesi,Yağ Fabrikas,38.45414,27.19721,1,0.01
Şair Eşref Bulvarı,Hocazade Camii,38.4331,27.14394,1,0
Anadolu Caddesi,Çiğli Alt Geçit,38.4944,27.06168,1,0
Gaziler Caddesi,İzsu Öncesi,38.42256,27.14308,1,1.21
Liman Caddesi,Havagazı Fabrika,38.44026,27.15672,1,0.13
Caher Dudayev Bulvarı,Mavişehir Tramvay Durağı,38.47533,27.06773,1,0.01
Atatürk Caddesi,Alsancak Gar,38.43835,27.14758,1,0
Anadolu Caddesi,Çiğli Çevre Yolu,38.4944,27.06168,1,0
Anadolu Caddesi,Dedebaşı Üst Geçit,38.4717,27.10852,1,0.01
Yeşildere Caddesi,Hilal Köprü Üzeri,38.42652,27.15225,1,0.15
Yeşildere Caddesi,Hilal Köprü Üstü Mürsel Paşa Katılımı,38.42652,27.15225,1,0.15
Gazeteci Hasan Tahsin Caddesi,Eşrefpaşa Anadolu Lisesi Hizası,38.40028,27.11332,1,0.06
Anadolu Caddesi,Çiğli Belediyesi,38.4944,27.06168,1,0
Anadolu Caddesi,Serinkuyu Jandarma Öncesi,38.47539,27.10287,1,0.01
Ankara Caddesi,Ege Üniversitesi Viyadük Öncesi,38.46138,27.22944,1,0.19
Liman Caddesi,Havagazı Tramvay Durağı,38.44026,27.15672,1,0.13
Akçay Caddesi,Gaziemir Altgeçit Çıkışı,38.32582,27.13665,1,0.29
Şehitler Caddesi,Atatürk Stadyumu,38.52522,27.05153,1,1.11
Liman Caddesi,Liman C Kapı Önü,38.44025,27.14992,1,0.01
Üniversite Caddesi,Ege Üniversitesi Hastane Kavşağı,38.45837,27.21615,1,1.11
Ankara Caddesi,Ambarlar Kavşağı,38.44937,27.29387,1,0.06
Şehitler Caddesi,Halkapınar Aktarma Köprü Üzeri,38.43406,27.16854,1,0.08
Mürselpaşa Bulvarı,Hilal Köprü Basmane Ayrımı,38.42474,27.14908,1,0.47
Caher Dudayev Bulvarı,Mavibahçe Hizası,38.47516,27.07449,1,0.07
Akdoğan Caddesi,Nato Kavşağı,38.39365,27.14098,1,0.04
Mustafa Kemal Sahil Bulvarı,Göztepe Üstgeçit,38.4003,27.09155,1,0.01
Girne Bulvarı,Girne Kültür Park,38.46233,27.10829,1,0.07
Mustafa Kemal Caddesi,Özkanlar Kavşağı,38.46112,27.20301,1,0.15
Halkapınar Kavşağı,Benzinlik Öncesi,38.43949,27.16826,1,1.66
Fevzipaşa Bulvarı,Basmane Gar Önü,38.42256,27.14308,1,0.06
Mustafa Kemal Sahil Bulvarı,Güzelyalı Kavşağı İç Kesime Dönüş,38.39849,27.0848,1,0.01
Gaziler Caddesi,Kemer Altgeçit,38.42223,27.1504,1,0
Anadolu Caddesi,Turan Köprüsü,38.46735,27.14962,1,0.01
Şehitler Caddesi,Halkapınar Aktarma Lambalar,38.43406,27.16854,1,0.08
Mithatpaşa Caddesi,İstinye Park Önü,38.39739,27.06817,1,0.21
Akçay Caddesi,Karabağlar Belediyesi Hizası,38.3616,27.13716,1,2.54
Yeşildere Caddesi,Tepecik Köprü Üstü Basmane Yol Ayrımı,38.42168,27.1531,1,0.3
Ankara Caddesi,Ege Üniversitesi Hastanesi Köprü Altı,38.45829,27.20983,1,0.07
Anadolu Caddesi,Ziraat Bankası Karşısı,38.47595,27.10165,1,0.02
Ankara Caddesi,Osman Kibar Kavşağı Sonrası,38.46153,27.22847,1,0
Şehitler Caddesi,Halkapınar Otobüs Durakları,38.43406,27.16854,1,0.08
Mithatpaşa Caddesi,Fahrettin Altay Kavşağı Sonrası,38.39696,27.06989,1,0
Gaziler Caddesi,Tepecik Köprü Yan Yolu,38.4227,27.1563,1,0.01
Erdem Caddesi,Eski Buca Mezarlığı Kavşağı,38.38108,27.18327,1,0.08
Üniversite Caddesi,Ege Üniversitesi Kavşağı,38.45837,27.21615,1,1.11
Cemal Gürsel Caddesi,Alaybey Tersane Hizası,38.45567,27.12095,1,0.42
Anadolu Caddesi,Çiğli Çevreyolu Kavşağı Öncesi,38.4944,27.06168,1,0
Önder Caddesi,Gaziemir Kavşağı,38.3213,27.12694,1,0
Mithatpaşa Caddesi,Mehmetçik Bulvarı Girişi,38.39695,27.07001,1,0.22
Aydın Hatboyu Caddesi,Koşu İzban Durağı,38.38325,27.14722,1,0.01
Akçay Caddesi,Sarnıç Köprü Çıkışı,38.31171,27.143,1,0.15
Anadolu Caddesi,Bayraklı ÜSt Geçit Sonrası,38.46504,27.16332,1,0.01
Anadolu Caddesi,Naldöken Köprü Benzinlik Öncesi,38.46651,27.12936,1,0.01
Anadolu Caddesi,Soğukkuyu Benzinlik Önü,38.4684,27.12174,1,0.6
Mithatpaşa Caddesi,Balçova Kavşağı,38.39513,27.05791,1,0.02
Akçay Caddesi,Nilüfer Sokak KEsişim,38.36156,27.13729,1,1.96
Aydınlar Caddesi,Işıkkent Mezarlığı Hizası,38.42621,27.23365,1,0.23
Gazi Osman Paşa Bulvarı,Çankaya Katlı Otopark Önü,38.42346,27.13757,1,0.01
Mustafa Kemal Caddesi,Stadyum Kavşağı,38.45932,27.19377,1,2.2
Menderes Caddesi,Buca Sosyal Güvenlik Merkezi,38.389,27.17029,1,0.63
Menderes Caddesi,İşçievleri Kavşağı,38.39152,27.15532,1,0.32
Eşrefpaşa Caddesi,İzmir Park Hizası,38.41643,27.13541,1,0.68
Mustafa Kemal Sahil Bulvarı,Konak Vİyadükaltı Tramvay Hattı,38.41887,27.12775,1,0.05
Anadolu Caddesi,Çiğli İtfaiye Kavşağı Öncesi,38.4944,27.06168,1,0
Yüzbaşı İbrahim Hakkı Caddesi,Smyrna Kavşağı İçi,38.46198,27.17164,1,0.12
Şair Eşref Bulvarı,İtfaiye Kavşağı,38.42418,27.13779,1,1.05
Anadolu Caddesi,Ege Deniz Bölge Komutanlığı Önü,38.46779,27.15063,1,0.57
Uğur Mumcu Caddesi,Menderes Caddesi kesişimi,38.3869,27.17182,1,0.72
Anadolu Caddesi,Şemikler Üst Geçit Sonrası,38.4779,27.09604,1,0.28
Mithatpaşa Caddesi,İstihkam Viyadüğü Hizası,38.38614,26.94474,1,0.04
Mürselpaşa Bulvarı,Yeşildere Caddesine Katılım,38.4246,27.14886,1,1.51
Anadolu Caddesi,Soğukkuyu Kavşağı öncesi,38.4684,27.12174,1,0.6
Bahriye Üçok Bulvarı,Atatürk Bulvarı Kesişimi,38.60634,27.07809,1,2.01
Menderes Caddesi,Belediye Kavşağı,38.38792,27.17328,1,0.74
Akçay Caddesi,Gaziemir Altgeçit Yanyol,38.32582,27.13665,1,0.29
Caher Dudayev Bulvarı,Mavişehir Tramvay Durağı Öncesi,38.47533,27.06773,1,0.01
Yeşildere Caddesi,Basmane Katılımı Hizası,38.42444,27.15196,1,0.64
Gaziler Caddesi,Kemeraltı Altgeçit,38.42256,27.14308,1,0.98
Saim Çıkrıkçı Caddesi,Bozyaka SSK Hastanesi Önü,38.38921,27.11766,1,0.24
Kemalpaşa Caddesi,Kokluca Mezarlığı Önü,38.42623,27.19263,1,0
Anadolu Caddesi,Turan Otobüs Durağı Sonrası,38.46735,27.14962,1,0.01
Gaziler Caddesi,Kemeraltı Altgeçit Sonrası,38.42256,27.14308,1,0.98
Ankara Caddesi,Bayraklı Tapu Müdürlüğü Önü,38.44619,27.17581,1,2.19
Ankara Caddesi,Bölge Metro İstasyonu Hizası,38.45564,27.20105,1,0.07
Anadolu Caddesi,Naldöken Köprüsü Öncesi,38.46651,27.12936,1,0.01
Anadolu Caddesi,Karşıyaka Katlı Pazar Yeri Hizası,38.4674,27.11658,1,1.06
Anadolu Caddesi,Turan Otobüs Durağı Öncesi,38.46735,27.14962,1,0.01
Ankara Caddesi,Bayraklı Yol Ayrımı Öncesi,38.44619,27.17581,1,2.19
Kaynak Caddesi,Aydın Hatboyu Köprü Altı,38.38047,27.14619,1,1.78
Halil Rıfat Paşa Caddesi,Bahribaba Otobüs Durakları Öncesi,38.41537,27.12828,1,0.09
Cumhuriyet Bulvarı,Cumhuriyet Meydanı Kavşağı,38.42924,27.13488,1,0.06
Anadolu Caddesi,Liman Ayrımı Öncesi,38.43966,27.17231,1,1.53
Akçay Caddesi,Sarnıç Kavşağı Üst Geçit Çıkışı,38.31171,27.143,1,0.15
Anadolu Caddesi,Bostanlı İskele Hizası,38.47005,27.1111,1,1.82
Menderes Caddesi,Şirinyer İzban Durağı Hizası,38.3935,27.14879,1,0.13
Atatürk Caddesi,Alsancak Polis Karakolu Önü,38.4386,27.14757,1,0.05
Aydınlar Caddesi,Ayakkabıcılar Sitesi Kavşağı,38.42426,27.23661,1,0.48
Yeşildere Caddesi,Basmane Yol Ayrım Sonrası,38.42444,27.15196,1,0.64
Akçay Caddesi,Serbest Bölge Alt Girişi,38.33659,27.13385,1,0.25
Anafartalar Caddesi,Basmane Gar Sonrası,38.42214,27.14348,1,0
Anadolu Caddesi,Harmandalı Alt Geçit Sonrası,38.51897,27.03993,1,1.85
Fevzipaşa Bulvarı,Halit Ziya Bulvarı Kesişimi,38.42249,27.13497,1,0.4
Ankara Caddesi,Bornova Çevreyolu Ayrımı,38.45858,27.2126,1,0.01
Akçay Caddesi,Sarnıç Kavşağı İçi,38.31171,27.143,1,0.15
Menderes Caddesi,MTK Kavşağı,38.40372,27.15065,1,2.31
Plevne Bulvarı,Lozan Meydanı Öncesi,38.43004,27.14154,1,0.02
Manas Bulvarı,PTT İşletme Müdürlüğü Hizası,38.44824,27.18081,1,1.14
Gaziler Caddesi,Yeşildere Viyadük Altı,38.422,27.1519,1,1.18
Gaziler Caddesi,Basmane Gar Öncesi,38.42226,27.14481,1,0
Fevzipaşa Bulvarı,Şehit Fethibey Caddesi Kesişimi,38.42248,27.13269,1,0.17
Gazi Osman Paşa Bulvarı,İtfaiye Kavşağı,38.41995,27.13687,1,0.68
Gazi Osman Paşa Bulvarı,Çankaya Katlı Otopark Hizası,38.42346,27.13757,1,0.01
Şehitler Caddesi,Halkapınar Aktarma Önü,38.43406,27.16854,1,0.08
Eşrefpaşa Caddesi,Çinili Camii Hizası,38.40203,27.12938,1,0.28
Şair Eşref Bulvarı,Hocazade Camii Öncesi,38.4331,27.14394,1,0
Ordu Bulvarı,Karşıyaka İlçe Emniyet Öncesi,38.46769,27.10991,1,1.17
Anadolu Caddesi,Naldöken Köprü Öncesi Benzinlik Hizası,38.46651,27.12936,1,0.01
Yeşildere Caddesi,Mobilya Mağazası,38.42584,27.15191,1,0.24
Mürselpaşa Bulvarı,Hilal Köprü Katılımı,38.42474,27.14908,1,0.47
Akçay Caddesi,Gaziemir Altgeçit Girişi,38.32582,27.13665,1,0.29
Gazi Osman Paşa Bulvarı,Çankaya,38.42346,27.13757,1,0.01
Altınyol Caddesi,Alsancak Ayrımı Öncesi,38.44261,27.17074,1,1.94
Sarnıç Yolu,Sarnıç Köprü İnişi,38.31154,27.14452,1,0.06
Eşrefpaşa Caddesi,İzmir Park Öncesi,38.41643,27.13541,1,0.68
Anadolu Caddesi,Soğukkuyu Üst Geçit Öncesi,38.4684,27.12174,1,0.6
Üniversite Caddesi,Ege Üniversitesi Hastanesi Kavşağı,38.45775,27.20988,1,0.01
Mustafa Kemal Sahil Bulvarı,Karantina Altgeçit Sonrası,38.40839,27.10796,1,0.14
Manas Bulvarı,Adliye Kavşağı,38.44995,27.17987,1,0.01
Eşrefpaşa Caddesi,Kestelli Caddesi Kesişimi,38.4158,27.13503,1,0
Mustafa Kemal Sahil Bulvarı,Karantina Altgeçit Öncesi,38.40839,27.10796,1,0.14
Caher Dudayev Bulvarı,Otoyol Girişi,38.46424,27.09542,1,2.62
Şair Eşref Bulvarı,Lozan Meydan Öncesi,38.43102,27.14265,1,0
Kamil Tunca Bulvarı,Kahveler Durağı,38.43033,27.19954,1,0
Cemal Gürsel Caddesi,Atatürk Anıtı Hizası,38.45574,27.0994,1,0.32
Mustafa Kemal Sahil Bulvarı,Konak Tünelinden Bağlantı Noktası,38.41887,27.12775,1,0.05
Doğuş Caddesi,Tınaztepe Kavşağı Sonrası,38.37532,27.19201,1,0.17
İnönü Caddesi,Göztepe Gürsel Aksel Stadyum Kavşağı,38.39605,27.09427,1,0.01
Ankara Caddesi,Türkan Özilhan Devlet Hastanesi Öncesi,38.45792,27.25094,1,0.03
Anadolu Caddesi,Şemikler Mezarlık Öncesi,38.4779,27.09604,1,0.28
Cemal Gürsel Caddesi,Nikah Sarayı Öncesi,38.44999,27.11055,1,0.03
Cemal Gürsel Caddesi,Naldöken Köprü İnişi,38.46585,27.13001,1,0.04
Mustafa Kemal Sahil Bulvarı,Konak Pier Üst Geçit Öncesi,38.41887,27.12775,1,0.05
Eşrefpaşa Caddesi,İzmir Park AVM Hizası,38.41643,27.13541,1,0.68
İnciraltı Caddesi,İnciraltı Köprüsü,38.41006,27.03409,1,0
Talatpaşa Bulvarı,Kıbrıs Şehitleri Caddesi,38.43574,27.14501,1,0.35
Yeşillik Caddesi,Ballıkuyu Caddesi Katılımı,38.4021,27.1301,1,2.31
Çevreyolu,Bornova Viyadüğü,38.46551,27.20321,1,0.05
Yalı Bulvarı,Naldöken Köprülü Kavşağı,38.46432,27.12941,1,0.08
Hasan Ali Yücel Bulvarı,Bostanlı İskele,38.45486,27.09682,1,0.02
Anadolu Caddesi,Ege Üniversitesi Karşıyaka Yerleşkesi Hizası,38.43966,27.17231,1,1.89
Akçay Caddesi,Esbaş Sonrası,38.33674,27.13382,1,0.02
Eşrefpaşa Caddesi,Eşrefpaşa Kavşağı,38.4089,27.12877,1,0
Gaziler Caddesi,Tepecik Üstgeçit Altı,38.4227,27.1563,1,0.01
Akçay Caddesi,Esbaş Altgeçit Çıkışı,38.33674,27.13382,1,0.02
Akçay Caddesi,Gaziemir Altgeçit,38.32582,27.13665,1,0.29
Akçay Caddesi,Sarnıç Altgeçit Girişi,38.31171,27.143,1,0.15
Cumhuriyet Bulvarı,Konak Pier Önü,38.42248,27.13116,1,0.15
Eşrefpaşa Caddesi,İzmir Park Avm Hizası,38.41643,27.13541,1,0.68
Mithatpaşa Caddesi,Agora Avm Hizası,38.36344,26.77195,1,2.76
Mustafa Kemal Sahil Bulvarı,Göztepe Kavşağo,38.4003,27.09155,1,0.01
Fevzipaşa Bulvarı,Konak Pier Sonrası,38.42248,27.13116,1,0.15
Akçay Caddesi,Gaziemir İlçe Emniyet Müdürlüğü Hizası,38.31679,27.14045,1,0.01
Halil Rıfat Paşa Caddesi,Konak Viyadük Altı Kavşağı,38.41537,27.12828,1,0.18
Anadolu Caddesi,Soğukkuyu Kavşağı Hizası,38.4684,27.12174,1,0.6
Akçay Caddesi,Esbaş Üst Geçit Öncesi,38.33674,27.13382,1,0.02
Atatürk Caddesi,Sebze Hali Önü,38.29776,27.17618,1,0.3
Anadolu Caddesi,Tepecik Hastanesi Karşıyaka Semt Pol. Hizası,38.43966,27.17231,1,2.35
Kemalpaşa Caddesi,Işıkkent Mezarlığı Sonrası,38.43234,27.22872,1,0.18
Eşrefpaşa Caddesi,Eşrefpaşa Cami Sonrası,38.4089,27.12877,1,0
Anadolu Caddesi,Turan İzban Durağı,38.46735,27.14962,1,0.01
Sarnıç Yolu,Sarnıç Kavşağı Öncesi,38.31154,27.14452,1,0.06
Yeşildere Caddesi,Konak Tüneli Katılımı Öncesi,38.40721,27.14447,1,1.78
Şair Eşref Bulvarı,Atatürk Lisesi Önü,38.42884,27.14152,1,0.12
Üniversite Caddesi,Ege Üniversitesi Acil Girişi Önü,38.45837,27.21615,1,1.11
Anadolu Caddesi,Naldöken köprü Sonrası,38.46651,27.12936,1,0.01
Aydınlar Caddesi,Ayakkabıcılar Sitesi Otoban Girişi,38.42426,27.23661,1,0.48
Şehitler Caddesi,Halkapınar Köprü Altı Çınarlı Dönüşü,38.43406,27.16854,1,0.08
Ankara Caddesi,Naldöken Kavşağı Viyadük Üstü,38.45276,27.26592,1,0.07
Menderes Caddesi,Buca Cezaevi Önü,38.39077,27.16071,1,0.01
Anadolu Caddesi,Soğukkuyu Yeni Girne Yol Ayrımı,38.4684,27.12174,1,0.6
Liman Caddesi,Alsancak Gar Önü,38.43965,27.14807,1,0.01
Liman Caddesi,Liman Köprü Üstü,38.44025,27.14992,1,0.01
Anadolu Caddesi,Ege Üniversitesi Karşıyaka Yerleşkesi,38.43966,27.17231,1,1.89
Gaziler Caddesi,İzsu Önü,38.42256,27.14308,1,1.21
Fevzipaşa Bulvarı,Çankaya Kavşağı Öncesi,38.42249,27.136,1,0
Cemal Gürsel Caddesi,Karşıyaka Anıt Hizası,38.45566,27.12088,1,0.11
Özmen Caddesi,Çevik Bir Meydanı,38.38323,27.17083,1,0.02
Akçay Caddesi,Semt Garajı Karşısı,38.35739,27.13539,1,0.06
Anafartalar Caddesi,Basmane Gar Önü,38.42214,27.14348,1,0
Anadolu Caddesi,Turan Üst geçit Öncesi,38.46735,27.14962,1,0.01
Mürselpaşa Bulvarı,Hilal köprü Sonrası,38.42474,27.14908,1,0.47
Cumhuriyet Bulvarı,Konak Pier Üst Geçit Hizası,38.42248,27.13116,1,0.15
Fevzipaşa Bulvarı,Çankaya Metro,38.42249,27.136,1,0
Eşrefpaşa Caddesi,Şelale Parkı Benzin İstasyon Önü,38.40203,27.12938,1,0.8
Yeşillik Caddesi,Karabağlar Belediyesi Önü Yan Yol,38.38857,27.13461,1,0.07
Akçay Caddesi,Sarnıç köprü Çıkışı,38.31171,27.143,1,0.15
Akçay Caddesi,Optimum Alt Geçit Girişi,38.33768,27.13379,1,0.08
Ankara Caddesi,Ege Üniversitesi Yol Ayrımı Hizası,38.46138,27.22944,1,0.19
Mürselpaşa Bulvarı,Basmane KAtılım Öncesi,38.42397,27.14471,1,0.12
Akçay Caddesi,Gaziemir Serbest Bölge Hizası,38.32582,27.13665,1,0.29
Doğuş Caddesi,Tınaztepe Hastane Kavşağı,38.37532,27.19201,1,0.17
Sarnıç Yolu,Sarnıç Köprü Çıkışı,38.31154,27.14452,1,0.06
Doğuş Caddesi,Tınaztepe Kampüs Girişi,38.37532,27.19201,1,0.17
Eşrefpaşa Caddesi,Eşrefpaşa Cami Önü,38.4089,27.12877,1,0
Halil Rıfat Paşa Caddesi,Konak Viyadük Girişi,38.41537,27.12828,1,0.18
Mithatpaşa Caddesi,Çağdaş Caddesi Kavşağı,38.39396,27.0456,1,0.01
Ankara Caddesi,Özkanlar Girişi,38.45722,27.20501,1,0.32
Kamil Tunca Bulvarı,Kartal Durağı Kavşağı Öncesi,38.43231,27.19065,1,0
Yeşildere Caddesi,Konak Tüneli Ayrımı,38.40721,27.14447,1,1.78
İzmir Sarnıç Yolu,Sarnıç Köprü Üzeri,38.31154,27.14452,1,0.06
Anadolu Caddesi,Sahil Ayrımı,38.43966,27.17231,1,2.21
Yeşildere Caddesi,Hastane Önü,38.42652,27.15225,1,0.82
Akçay Caddesi,Gaziemir Alt geçit İçi,38.31679,27.14045,1,0.01
Mustafa Kemal Caddesi,Migros Kavşağı,38.46608,27.21904,1,0.08
Cemal Gürsel Caddesi,Karşıyaka İskele Önü,38.45567,27.12095,1,0.05
Aydınlar Caddesi,Işıkkent Mezarlık Kavşağı,38.42621,27.23365,1,0.23
Anadolu Caddesi,Evka 5 Kavşağı,38.50838,27.04728,1,0.46
Ankara Caddesi,Bornova Viyadük Sonrası,38.45858,27.2126,1,0.01
Mithatpaşa Caddesi,Dokuz Eylül Üniversitesi Hastanesi,38.39433,27.03818,1,0
Mustafa Kemal Sahil Bulvarı,Konak Subay Ordu Evi Hizası,38.41887,27.12775,1,0.05
Cumhuriyer Bulvarı,İzmir Sosyal Güvenlik İl Müdürlüğü,38.42248,27.13116,1,0.36
Ankara Caddesi,Bayraklı İlçe Sağlık Md. Hizası,38.44619,27.17581,1,2.19
Mithatpaşa Caddesi,Mithatpaşa Alt Geçir Çıkışı,38.40693,27.10631,1,0.01
Mehmet Akif Caddesi,İzban Önü,38.27753,27.19361,1,2.69
Mustafa Kemal Sahil Bulvarı,Güzelyalı Tramvay Durağı,38.39849,27.0848,1,0.01
Mithatpaşa Caddesi,Narlıdere Otoban Kavşağı,38.39548,27.00123,1,0.01
Mithatpaşa Caddesi,Göztepe Spor Kulubü Hizası,38.39978,27.09214,1,0.07
İzmir Sarnıç Yolu,Sarnıç Köprü Sonrası,38.31154,27.14452,1,0.06
Yeşillik Caddesi,Karabağlar Belesiye Hizası,38.38424,27.13463,1,0.15
Mustafa Kemal Sahil Bulvarı,Göztepe İstasyon Önü,38.4003,27.09155,1,0.01
Yalı Bulvarı,Tersane Kavşağı,38.46269,27.12808,1,0.01
Altınyol Caddesi,Bayraklı Üst Geçit,38.4471,27.17144,1,1.95
Yeşildere Caddesi,Ballıkuyu Caddesi Katılım,38.41693,27.15518,1,0.43
Şehitler Caddesi,Üniversite Tramvay Durağı Sonrası,38.43729,27.16073,1,0
Mustafa Kemal Sahil Bulvarı,Konak Vapur İskele Sonrası,38.41887,27.12775,1,0.05
Akçay Caddesi,Havalimanı Kavşağı Girişi,38.31029,27.1424,1,2.08
Halil Rıfat Paşa Caddesi,Konak Yaya Üst Geçit Öncesi,38.41537,27.12828,1,0.18
Akdoğan Caddesi,Nato Hizası,38.39365,27.14098,1,0.04
Alim Dağhan Caddesi,Şemikler Kavşağı Öncesi,38.48319,27.09692,1,0.87
Cemal Gürsel Caddesi,Muammer Aksoy Parkı Hizası,38.45567,27.12095,1,0.38
Anadolu Caddesi,Çiğli Alt Geçit Hizası,38.4944,27.06168,1,0
Mithatpaşa Caddesi,Hilal Köprü Üstü,38.4158,27.12712,1,2.6
Altınyol Caddesi,Liman Ayrımı Sonrası,38.44261,27.17074,1,1.4
Yeşildere Caddesi,Basmane Katılımı,38.42444,27.15196,1,0.64
Smyrna Meydanı,Smyrna Kavşağı,38.46184,27.17154,1,0.12
Şehitler Caddesi,Stadyum Tramvay Durağı,38.43317,27.17978,1,1.02
Akçay Caddesi,Sarnıç Alt Geçit Önesi,38.31171,27.143,1,0.15
Ankara Caddesi,Bölge Metro Üst Geçit Sonrası,38.45564,27.20105,1,0.07
Kemalpaşa Caddesi,Otogar Kavşak,38.42833,27.21501,1,0
Ankara Caddesi,Bornova Türkan ÖZilhan Hastanesi Sonrası,38.45858,27.2126,1,0.01
Şair Eşref Bulvarı,Dr. Mustafa Enver Bey Caddesi Kesişimi,38.43183,27.14303,1,0.36
Mithatpaşa Caddesi,Güzelbahçe Kavşağı Öncesi,38.37567,26.87552,1,0.02
Manas Bulvarı,Adliye Hizası,38.44995,27.17987,1,0.01
Mehmet Akif Caddesi,Şirinyer İzban Hizası,38.39312,27.1473,1,0.01
Yeşildere Caddesi,Konak Tüneli Girişi,38.40721,27.14447,1,1.78
Kemalpaşa Caddesi,Yeşilçam Kavşağı,38.44889,27.29736,1,0.25
Eşrefpaşa Caddesi,Eşrefpaşa Otobüs Durakları Önü,38.4089,27.12877,1,0
Fevzipaşa Bulvarı,Basmane PTT Merkez Binası Hizası,38.42256,27.14308,1,0.06
Anadolu Caddesi,Çiğli Belediye Önü,38.4944,27.06168,1,0
Yeşillik Caddesi,Karabağlar Belediye Önü Kavşak İçi,38.38424,27.13463,1,0.15
Şaie Eşref Bulvarı,Lozan Meydanı,38.43102,27.14265,1,0
Şaie Eşref Bulvarı,Montrö Meydanı Sonrası,38.42844,27.14141,1,0
Hasan Güven Caddesi,Uğur Okulları Hizası,38.3348,27.13299,1,0.04
Gazi Bulvarı,İtfaiye Kavşağı,38.42444,27.13217,1,0.86
Menderes Caddesi,Buca Belediye Hizası,38.389,27.17029,1,0.63
Mehmet Akif Caddesi,Şirinyer Metro Hizası,38.39312,27.1473,1,0.01
Mithatpaşa Caddesi,Dokuz Eylül Üniversitesi Hastanesi Sonrası,38.39433,27.03818,1,0
Anadolu Caddesi,Naldöken Köprü Üncesi,38.46651,27.12936,1,0.01
Yalı Bulvarı,Naldöken Köprü İnişi,38.46432,27.12941,1,0.08
İnönü Caddesi,Poligon Işıklar,38.39326,27.08483,1,0
Ozan Abay Caddesi,Adliye Ayrımı,38.44907,27.17309,1,0.61
Atatürk Caddesi,Cennet Vadisi Hizası,38.29776,27.17618,1,0.3
Kemalpaşa Caddesi,Otogar Kavşağı Sonrası,38.42833,27.21501,1,0
İstanbul Caddesi,Osman Kibar Kavşağı,38.46409,27.22696,1,0.24
Mustafa Kemal Sahil Bulvarı,Üçkuyular Tramvay Durağı,38.40326,27.07148,1,0.01
Anadolu Caddesi,Çiğli Viyadük Altı,38.4944,27.06168,1,0
Altınyol Caddesi,Bayraklı Köprü Altı,38.4471,27.17144,1,1.95
Atatürk Caddesi,Tekel Alsancak Gar Sonrası,38.43686,27.1476,1,0.07
Menderes Caddesi,Şirinyer Park Hizası,38.3935,27.14879,1,0.13
Homeros Bulvarı,Buca Ayrımı,38.4006,27.15581,1,2.2
Altınyol Caddesi,Turan Üst Geçit Hizası,38.4471,27.17144,1,2.9
Atatürk Caddesi,Alsancak Polis Merkezi Hizası,38.44069,27.1467,1,0.01
Gaziosmanpaşa Bulvarı,Çankaya Katlı Otopark Hizası,38.42346,27.13757,1,0.01
Cemal Gürsel Caddesi,Atatürk Anıtı Sonrası,38.45574,27.0994,1,0.32
